x_position,y_position,z_position,ray_tracing_signal,path_loss_signal,difference
8.0,46.0,1.5,-70.3801725897849,-47.380172589784905,-23.0
8.0,48.0,1.5,-70.5996192782022,-47.5996192782022,-23.0
8.0,50.0,1.5,-70.86639142502901,-47.86639142502901,-23.0
8.0,52.0,1.5,-71.171650088646,-48.171650088646004,-23.0
8.0,54.0,1.5,-71.50675600918817,-48.506756009188166,-23.0
8.0,56.0,1.5,-71.86378912239383,-48.863789122393825,-23.0
8.0,58.0,1.5,-72.23583927977211,-49.23583927977211,-23.0
8.0,60.0,1.5,-72.61711000856869,-49.61711000856869,-23.0
8.0,62.0,1.5,-73.00289306438219,-50.00289306438219,-23.0
8.0,64.0,1.5,-73.38946758406479,-50.38946758406479,-23.0
8.0,66.0,1.5,-73.77396492526503,-50.773964925265034,-23.0
8.0,68.0,1.5,-74.15422634556325,-51.154226345563245,-23.0
8.0,70.0,1.5,-74.5286691597139,-51.5286691597139,-23.0
8.0,72.0,1.5,-74.8562006575855,-51.856200657585504,-23.0
8.0,74.0,1.5,-75.16609792992853,-52.166097929928526,-23.0
8.0,76.0,1.5,-75.47528902545452,-52.475289025454515,-23.0
8.0,78.0,1.5,-75.78250002941363,-52.782500029413626,-23.0
8.0,80.0,1.5,-76.08672554211336,-53.086725542113356,-23.0
8.0,82.0,1.5,-76.38718585040823,-53.38718585040823,-23.0
8.0,84.0,1.5,-76.68328866926348,-53.683288669263476,-23.0
8.0,86.0,1.5,-76.97459581683461,-53.97459581683461,-23.0
8.0,88.0,1.5,-77.21105156256749,-54.21105156256749,-23.0
8.0,90.0,1.5,-77.40031302395346,-54.40031302395346,-23.0
8.0,92.0,1.5,-77.5939025018161,-54.5939025018161,-23.0
8.0,94.0,1.5,-77.79091891836148,-54.790918918361484,-23.0
8.0,96.0,1.5,-77.99054774935041,-54.99054774935041,-23.0
8.0,98.0,1.5,-78.19205896208067,-55.192058962080665,-23.0
8.0,100.0,1.5,-78.39480334991725,-55.394803349917254,-23.0
10.0,0.0,1.5,-69.2893020553472,-46.28930205534721,-23.0
10.0,2.0,1.5,-64.42296432352174,-45.42296432352174,-19.0
10.0,4.0,1.5,-63.467247701163785,-44.467247701163785,-19.0
10.0,6.0,1.5,-62.40378599560063,-43.40378599560063,-19.0
10.0,8.0,1.5,-61.20927861655031,-42.20927861655031,-19.0
10.0,10.0,1.5,-59.8550756846908,-40.8550756846908,-19.0
10.0,12.0,1.5,-54.30992392966587,-39.30992392966587,-15.0
10.0,14.0,1.5,-52.55545010206612,-37.55545010206612,-15.0
10.0,16.0,1.5,-50.64730494330223,-35.64730494330223,-15.0
10.0,18.0,1.5,-48.901342263614936,-33.901342263614936,-15.0
10.0,20.0,1.5,-48.118475109738995,-33.118475109738995,-15.0
10.0,22.0,1.5,-48.901342263614936,-33.901342263614936,-15.0
10.0,24.0,1.5,-50.64730494330223,-35.64730494330223,-15.0
10.0,26.0,1.5,-52.55545010206612,-37.55545010206612,-15.0
10.0,28.0,1.5,-54.30992392966587,-39.30992392966587,-15.0
10.0,30.0,1.5,-59.31751422145561,-40.31751422145561,-19.0
10.0,32.0,1.5,-60.202002153947745,-41.202002153947745,-19.0
10.0,34.0,1.5,-61.15607188895618,-42.15607188895618,-19.0
10.0,36.0,1.5,-62.11311013707521,-43.11311013707521,-19.0
10.0,38.0,1.5,-63.03796569574567,-44.03796569574567,-19.0
10.0,40.0,1.5,-63.914985807958004,-44.914985807958004,-19.0
10.0,42.0,1.5,-64.73917550616457,-45.73917550616457,-19.0
10.0,44.0,1.5,-69.45157923390448,-46.45157923390448,-23.0
10.0,46.0,1.5,-69.64625360887743,-46.64625360887743,-23.0
10.0,48.0,1.5,-69.9049211281436,-46.9049211281436,-23.0
10.0,50.0,1.5,-70.21634572306877,-47.21634572306877,-23.0
10.0,52.0,1.5,-70.56894051173012,-47.56894051173012,-23.0
10.0,54.0,1.5,-70.95179415708498,-47.951794157084976,-23.0
10.0,56.0,1.5,-71.35529761537839,-48.35529761537839,-23.0
10.0,58.0,1.5,-71.77141326741975,-48.771413267419746,-23.0
10.0,60.0,1.5,-72.19368722481298,-49.193687224812976,-23.0
10.0,62.0,1.5,-72.61711000856869,-49.61711000856869,-23.0
10.0,64.0,1.5,-73.0379081782738,-50.037908178273796,-23.0
10.0,66.0,1.5,-73.45332089797307,-50.45332089797307,-23.0
10.0,68.0,1.5,-73.86139138409683,-50.861391384096834,-23.0
10.0,70.0,1.5,-74.21448786878341,-51.21448786878341,-23.0
10.0,72.0,1.5,-74.54718591820642,-51.547185918206424,-23.0
10.0,74.0,1.5,-74.87908466149773,-51.87908466149773,-23.0
10.0,76.0,1.5,-75.20861753963007,-52.20861753963007,-23.0
10.0,78.0,1.5,-75.5345708648195,-52.5345708648195,-23.0
10.0,80.0,1.5,-75.85602340114073,-52.85602340114073,-23.0
10.0,82.0,1.5,-76.17229303991488,-53.17229303991488,-23.0
10.0,84.0,1.5,-76.48289102081463,-53.482891020814634,-23.0
10.0,86.0,1.5,-76.73197585171047,-53.73197585171047,-23.0
10.0,88.0,1.5,-76.92856804867958,-53.92856804867958,-23.0
10.0,90.0,1.5,-77.13025808774628,-54.130258087746284,-23.0
10.0,92.0,1.5,-77.33597788107494,-54.33597788107494,-23.0
10.0,94.0,1.5,-77.5447640887285,-54.5447640887285,-23.0
10.0,96.0,1.5,-77.7557561469863,-54.7557561469863,-23.0
10.0,98.0,1.5,-77.96819199593853,-54.968191995938525,-23.0
10.0,100.0,1.5,-78.18140224066812,-55.18140224066812,-23.0
12.0,0.0,1.5,-69.33044334412926,-46.330443344129264,-23.0
12.0,2.0,1.5,-64.47313608519212,-45.473136085192124,-19.0
12.0,4.0,1.5,-63.529681046902226,-44.529681046902226,-19.0
12.0,6.0,1.5,-62.48338400507296,-43.48338400507296,-19.0
12.0,8.0,1.5,-61.31377556319225,-42.31377556319225,-19.0
12.0,10.0,1.5,-59.99718880828581,-40.99718880828581,-19.0
12.0,12.0,1.5,-54.51137197483072,-39.51137197483072,-15.0
12.0,14.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
